concept_A,concept_B,label
dbscan,arithmetic_mean,1
optics_algorithm,arithmetic_mean,1
confidence_interval,joint_probability_distribution,0
prior_probability,conditional_probability,0
decision_tree_model,conditional_probability,1
boosting_(machine_learning),data_mining,0
naive_bayes_classifier,standard_deviation,1
feedforward_neural_network,gradient_descent,0
confidence_interval,statistical_significance,0
data_mining,hierarchical_clustering,0
interquartile_range,median,1
cluster_analysis,outlier,0
bayesian_network,probability_density_function,1
data_mining,outlier,1
sensitivity_and_specificity,accuracy_and_precision,0
k-medoids,cluster_analysis,1
backpropagation,feedforward_neural_network,0
random_forest,boosting_(machine_learning),0
k-means_clustering,machine_learning,1
mutation_(genetic_algorithm),natural_selection,1
cluster_analysis,information_retrieval,0
support_vector_machine,probability_density_function,1
gradient_descent,maxima_and_minima,1
conditional_probability,bayesian_network,0
statistical_classification,artificial_neural_network,0
standard_deviation,f1_score,0
adaboost,joint_probability_distribution,1
statistical_hypothesis_testing,type_i_and_type_ii_errors,0
arithmetic_mean,cluster_analysis,0
correlation_and_dependence,clustering_high-dimensional_data,0
confusion_matrix,sensitivity_and_specificity,0
sample_(statistics),precision_and_recall,0
sensitivity_and_specificity,statistical_classification,1
f1_score,sample_(statistics),1
random_forest,standard_deviation,0
bayesian_network,prior_probability,1
stepwise_regression,regression_analysis,1
k-medoids,k-means_clustering,0
statistical_classification,naive_bayes_classifier,0
correlation_and_dependence,hierarchical_clustering,0
false_positives_and_false_negatives,positive_and_negative_predictive_values,0
linear_separability,support_vector_machine,0
dbscan,cluster_analysis,1
interquartile_range,outlier,0
standard_deviation,hierarchical_clustering,0
hierarchical_clustering,cluster_analysis,1
precision_and_recall,null_hypothesis,1
random_forest,decision_tree_learning,1
machine_learning,bayesian_network,0
clustering_high-dimensional_data,correlation_and_dependence,1
conditional_probability,naive_bayes_classifier,0
decision_tree_model,statistical_classification,1
mixture_model,bayesian_network,0
cluster_analysis,fuzzy_clustering,0
likelihood_function,confidence_interval,0
statistical_hypothesis_testing,data_mining,0
dbscan,data_analysis,1
decision_tree,statistical_classification,1
random_forest,bootstrapping_(statistics),1
bayesian_network,likelihood_function,1
regression_analysis,least_squares,0
data_mining,regression_analysis,1
support_vector_machine,outlier,0
conditional_probability_distribution,naive_bayes_classifier,0
naive_bayes_classifier,data_mining,0
outlier,data_mining,0
decision_tree_learning,probability_density_function,1
confidence_interval,sample_(statistics),1
statistical_hypothesis_testing,sample_(statistics),1
naive_bayes_classifier,conditional_independence,1
hierarchical_clustering,mixture_model,0
backpropagation,ensemble_learning,0
backpropagation,machine_learning,1
joint_probability_distribution,conditional_probability_distribution,0
probability_density_function,naive_bayes_classifier,0
